lambda_out,x_tot_star,y_tot_star,x_in_biomass,x_out_biomass,y_in_biomass,y_out_biomass,cum_catch_x,cum_catch_y
0.0,0.5380386919951041,0.6696332920892751,0.17645345930855155,0.36158523268655257,0.17645308059240028,0.49318021149687474,1.7662865292760206,1.7012976564574196
0.0642857142857143,0.49909973120625956,0.645920539415925,0.17630834144652452,0.32279138975973504,0.17630803420572652,0.46961250521019837,2.2273413436942433,2.839664949332239
0.1285714285714286,0.4617889987775343,0.6214013523530518,0.17616255375408937,0.28562644502344486,0.17616236993988105,0.4452389824131708,2.5743445791324504,3.785198269743131
0.1928571428571429,0.42617841540907575,0.596040130819955,0.1760162470958537,0.2501621683132221,0.1760162817766663,0.4200238490432887,2.816876637362937,4.535986719385235
0.2571428571428572,0.39234785696928165,0.5697813805745977,0.17586959564789495,0.21647826132138664,0.17587002182951011,0.39391135874508765,2.9651235488741796,5.090407280994715
0.32142857142857145,0.3603879549755468,0.5424171590242597,0.17572279372211155,0.18466516125343527,0.1757239204907585,0.36669323853350116,3.029982985883028,5.447322305071304
0.3857142857142858,0.33040418823226525,0.5125859796834807,0.1755760507099963,0.15482813752226893,0.1755784117543328,0.33700756792914793,3.023201502824959,5.607038283077145
0.45000000000000007,0.30252462182244966,0.47419515404885626,0.1754295904865752,0.12709503133587444,0.1754340576683885,0.2987610963804678,2.957547952927553,5.577248288730222
0.5142857142857143,0.27691542611738196,0.4259130347686225,0.17528367489353558,0.10163175122384638,0.17529155210505473,0.25062148266356776,2.847006398610229,5.384596812818214
0.5785714285714286,0.2538087447106814,0.3785363829907985,0.17513869370486118,0.0786700510058202,0.1751516601906319,0.2033847228001666,2.706893290096987,5.0590093610847156
0.6428571428571429,0.23353684303096028,0.3344172597344854,0.17499538182636826,0.05854146120459205,0.17501503107306715,0.1594022286614182,2.5536108116502296,4.625429703973447
0.7071428571428572,0.21652772908272044,0.29383575778833854,0.17485517990798802,0.04167254917473244,0.1748818738405759,0.11895388394776263,2.403484628449919,4.112890571129543
0.7714285714285716,0.203171958016551,0.25725115981418256,0.17472053429989073,0.028451423716660224,0.17475172717034898,0.08249943264383361,2.2702439206790497,3.55889992587096
0.8357142857142859,0.19353582485578877,0.22563878449452254,0.17459453573641603,0.018941289119372758,0.17462392554716283,0.05101485894735966,2.161838734745389,3.014302711149581
0.9,0.18712173475102448,0.20096397395921778,0.17447927410978353,0.01264246064124096,0.1744992644483478,0.02646470951086998,2.0789707912032176,2.54799994012115
